0,dividend
2022-05-16,1.563
2022-05-13,1.557
2022-05-12,1.594
2022-05-11,1.592
2022-05-10,1.566
2022-05-09,1.57
2022-05-06,1.519
2022-05-05,1.511
2022-05-04,1.457
2022-05-03,1.5
2022-05-02,1.508
2022-04-29,1.5
2022-04-28,1.445
2022-04-27,1.481
2022-04-26,1.484
2022-04-25,1.442
2022-04-22,1.451
2022-04-21,1.41
2022-04-20,1.39
2022-04-19,1.389
2022-04-18,1.411
2022-04-14,1.411
2022-04-13,1.394
2022-04-12,1.409
2022-04-11,1.404
2022-04-08,1.381
2022-04-07,1.377
2022-04-06,1.383
2022-04-05,1.369
2022-04-04,1.352
2022-04-01,1.363
2022-03-31,1.368
2022-03-30,1.335
2022-03-29,1.327
2022-03-28,1.343
2022-03-25,1.353
2022-03-24,1.359
2022-03-23,1.379
2022-03-22,1.362
2022-03-21,1.377
2022-03-18,1.377
2022-03-17,1.393
2022-03-16,1.41
2022-03-15,1.442
2022-03-14,1.473
2022-03-11,1.462
2022-03-10,1.443
2022-03-09,1.436
2022-03-08,1.473
2022-03-07,1.463
2022-03-04,1.42
2022-03-03,1.408
2022-03-02,1.401
2022-03-01,1.427
2022-02-28,1.405
2022-02-25,1.389
2022-02-24,1.42
2022-02-23,1.442
2022-02-22,1.415
2022-02-18,1.401
2022-02-17,1.391
2022-02-16,1.361
2022-02-15,1.363
2022-02-14,1.384
2022-02-11,1.379
2022-02-10,1.353
2022-02-09,1.328
2022-02-08,1.347
2022-02-07,1.359
2022-02-04,1.354
2022-02-03,1.361
2022-02-02,1.327
2022-02-01,1.34
2022-01-31,1.349
2022-01-28,1.363
2022-01-27,1.396
2022-01-26,1.389
2022-01-25,1.386
2022-01-24,1.37
2022-01-21,1.373
2022-01-20,1.347
2022-01-19,1.333
2022-01-18,1.32
2022-01-14,1.295
2022-01-13,1.296
2022-01-12,1.278
2022-01-11,1.282
2022-01-10,1.293
2022-01-07,1.291
2022-01-06,1.286
2022-01-05,1.285
2022-01-04,1.26
2022-01-03,1.259
2021-12-31,1.267
2021-12-30,1.256
2021-12-29,1.252
2021-12-28,1.254
2021-12-27,1.253
2021-12-23,1.27
2021-12-22,1.278
2021-12-21,1.291
2021-12-20,1.314
2021-12-17,1.299
2021-12-16,1.286
2021-12-15,1.274
2021-12-14,1.295
2021-12-13,1.286
2021-12-10,1.274
2021-12-09,1.286
2021-12-08,1.277
2021-12-07,1.281
2021-12-06,1.307
2021-12-03,1.322
2021-12-02,1.311
2021-12-01,1.33
2021-11-30,1.314
2021-11-29,1.281
2021-11-26,1.298
2021-11-24,1.269
2021-11-23,1.271
2021-11-22,1.274
2021-11-19,1.269
2021-11-18,1.268
2021-11-17,1.272
2021-11-16,1.269
2021-11-15,1.274
2021-11-12,1.274
2021-11-11,1.283
2021-11-10,1.283
2021-11-09,1.273
2021-11-08,1.268
2021-11-05,1.27
2021-11-04,1.274
2021-11-03,1.28
2021-11-02,1.288
2021-11-01,1.293
2021-10-29,1.287
2021-10-28,1.289
2021-10-27,1.302
2021-10-26,1.295
2021-10-25,1.297
2021-10-22,1.304
2021-10-21,1.302
2021-10-20,1.306
2021-10-19,1.311
2021-10-18,1.321
2021-10-15,1.325
2021-10-14,1.335
2021-10-13,1.358
2021-10-12,1.362
2021-10-11,1.359
2021-10-08,1.349
2021-10-07,1.347
2021-10-06,1.358
2021-10-05,1.363
2021-10-04,1.378
2021-10-01,1.36
2021-09-30,1.375
2021-09-29,1.349
2021-09-28,1.351
2021-09-27,1.323
2021-09-24,1.319
2021-09-23,1.321
2021-09-22,1.337
2021-09-21,1.35
2021-09-20,1.349
2021-09-17,1.326
2021-09-16,1.314
2021-09-15,1.312
2021-09-14,1.323
2021-09-13,1.316
2021-09-10,1.319
2021-09-09,1.308
2021-09-08,1.302
2021-09-07,1.301
2021-09-03,1.296
2021-09-02,1.296
2021-09-01,1.299
2021-08-31,1.3
2021-08-30,1.288
2021-08-27,1.294
2021-08-26,1.305
2021-08-25,1.297
